Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
symbol withdrawn, see ABCA2	Symbol Withdrawn							
symbol withdrawn, see ABCA3	Symbol Withdrawn							
symbol withdrawn, see ABCB7	Symbol Withdrawn							
symbol withdrawn, see ABCF1	Symbol Withdrawn							
ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	9q31.1	AJ012376	NM_005502	600046	ENSG00000165029	19
ATP binding cassette subfamily A member 2	Approved	ABC2	9q34.3	U18235	NM_001606	600047	ENSG00000107331	20
ATP binding cassette subfamily A member 3	Approved	ABC3	16p13.3	U78735	NM_001089	601615	ENSG00000167972	21
ATP binding cassette subfamily A member 4	Approved	STGD1, ABCR, RP19, STGD	1p22.1	U88667	NM_000350	601691	ENSG00000198691	24
ATP binding cassette subfamily A member 5	Approved		17q24.3	U66672	NM_018672	612503	ENSG00000154265	23461
ATP binding cassette subfamily A member 6	Approved		17q24.2-q24.3	U66680	NM_080284	612504	ENSG00000154262	23460
ATP binding cassette subfamily A member 7	Approved		19p13.3	AF328787	NM_019112	605414	ENSG00000064687	10347
ATP binding cassette subfamily A member 8	Approved		17q24.2	AB020629	NM_007168	612505	ENSG00000141338	10351
ATP binding cassette subfamily A member 9	Approved		17q24.2	AF423307	NM_172386	612507	ENSG00000154258	10350
ABCA9 antisense RNA 1	Approved		17q24.2				ENSG00000231749	104355297
ATP binding cassette subfamily A member 10	Approved		17q24.3	AY247065	NM_080282	612508	ENSG00000154263	10349
ATP binding cassette subfamily A member 11, pseudogene	Approved	ABCA11	4p16.3	AK024359	NR_002451.2		ENSG00000251595	79963
ATP binding cassette subfamily A member 12	Approved	ICR2B	2q35	AF418105	NM_173076	607800	ENSG00000144452	26154
ATP binding cassette subfamily A member 13	Approved		7p12.3	AY204751	NM_152701	607807	ENSG00000179869	154664
ATP binding cassette subfamily A member 17, pseudogene	Approved		16p13.3	DQ266102	NR_003574		ENSG00000238098	650655
ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	7q21.12	M14758	NM_000927	171050	ENSG00000085563	5243
symbol withdrawn, see TAP1	Symbol Withdrawn							
symbol withdrawn, see TAP2	Symbol Withdrawn							
ATP binding cassette subfamily B member 4	Approved	PGY3, MDR3	7q21.12	M23234	NM_000443	171060	ENSG00000005471	5244
ATP binding cassette subfamily B member 5	Approved		7p21.1	U66692	NM_178559	611785	ENSG00000004846	340273
ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		2q35	AF070598	NM_005689	605452	ENSG00000115657	10058
ATP binding cassette subfamily B member 7	Approved	ABC7	Xq13.3	AF038950	NM_004299	300135	ENSG00000131269	22
ATP binding cassette subfamily B member 8	Approved		7q36.1	AF047690	NM_007188	605464	ENSG00000197150	11194
ATP binding cassette subfamily B member 9	Approved		12q24.31	U66676	NM_019624	605453	ENSG00000150967	23457
ATP binding cassette subfamily B member 10	Approved		1q42.13	U18237	NM_012089	605454	ENSG00000135776	23456
ABCB10 pseudogene 1	Approved	ABCB10P, ABCB10P2	15q11.2	AF218417	NG_005041		ENSG00000274099	56476
symbol withdrawn, see ABCB10P1	Symbol Withdrawn							
ABCB10 pseudogene 3	Approved		15q13.1		NG_022122		ENSG00000261524	728248
ABCB10 pseudogene 4	Approved		15q13.1		NG_022102		ENSG00000260053	100132289
ATP binding cassette subfamily B member 11	Approved	BSEP, PFIC2	2q31.1	AF091582	NM_003742	603201	ENSG00000073734	8647
ATP binding cassette subfamily C member 1	Approved	MRP, MRP1	16p13.11	L05628	NM_004996	158343	ENSG00000103222	4363
ATP binding cassette subfamily C member 2	Approved	CMOAT	10q24.2	U63970	NM_000392	601107	ENSG00000023839	1244
ATP binding cassette subfamily C member 3	Approved		17q21.33	Y17151	NM_020038	604323	ENSG00000108846	8714
ATP binding cassette subfamily C member 4	Approved		13q32.1	U66682	NM_005845	605250	ENSG00000125257	10257
ATP binding cassette subfamily C member 5	Approved		3q27.1	AF104942	NM_005688	605251	ENSG00000114770	10057
ABCC5 antisense RNA 1	Approved		3q27.1				ENSG00000223882	100873982
ATP binding cassette subfamily C member 6	Approved	ARA, PXE	16p13.11	AF076622		603234	ENSG00000091262	368
ATP binding cassette subfamily C member 6 pseudogene 1	Approved		16p12.3	BC075833	NR_003569		ENSG00000256340	653190
ATP binding cassette subfamily C member 6 pseudogene 2	Approved		16p13.11		NR_023387		ENSG00000255277	730013
ATP binding cassette subfamily C member 8	Approved	SUR, HRINS	11p15.1	L78207	NM_000352	600509	ENSG00000006071	6833
ATP binding cassette subfamily C member 9	Approved		12p12.1	AF061323	NM_005691	601439	ENSG00000069431	10060
ATP binding cassette subfamily C member 10	Approved		6p21.1	U66684	NM_033450	612509	ENSG00000124574	89845
ATP binding cassette subfamily C member 11	Approved		16q12.1	AF367202	NM_032583	607040	ENSG00000121270	85320
ATP binding cassette subfamily C member 12	Approved		16q12.1	AY040220	NM_033226	607041	ENSG00000140798	94160
ATP binding cassette subfamily C member 13 (pseudogene)	Approved		21q11.2	AF418600		608835	ENSG00000243064	150000
ATP binding cassette subfamily D member 1	Approved	ALD	Xq28	Z21876	NM_000033	300371	ENSG00000101986	215
ATP binding cassette subfamily D member 1 pseudogene 1	Approved		2p11.2	U90290				23785
ATP binding cassette subfamily D member 1 pseudogene 2	Approved		10p11.1	U90288			ENSG00000215151	26983
ATP binding cassette subfamily D member 1 pseudogene 3	Approved		16p11.2	U90289			ENSG00000261233	26982
ATP binding cassette subfamily D member 1 pseudogene 4	Approved		22q11.1	U90291			ENSG00000225293	26957
ATP binding cassette subfamily D member 1 pseudogene 5	Approved		2p11.1				ENSG00000214330	642762
ATP binding cassette subfamily D member 2	Approved	ALDL1	12q12	U28150	NM_005164	601081	ENSG00000173208	225
ATP binding cassette subfamily D member 3	Approved	PXMP1	1p21.3	M81182	NM_002858	170995	ENSG00000117528	5825
ATP binding cassette subfamily D member 4	Approved	PXMP1L	14q24.3	AF009746	NM_005050	603214	ENSG00000119688	5826
ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	4q31.21	X74987	NM_002940	601213	ENSG00000164163	6059
ATP binding cassette subfamily F member 1	Approved	ABC50	6p21.33	AF027302		603429	ENSG00000204574	23
ABCF1 divergent transcript	Approved		6p21.33					107986587
ATP binding cassette subfamily F member 2	Approved		7q36.1	AJ005016	NM_005692	612510	ENSG00000033050	10061
ATP binding cassette subfamily F member 2 pseudogene 1	Approved		3p11.1				ENSG00000242159	344653
ATP binding cassette subfamily F member 2 pseudogene 2	Approved		7q11.22				ENSG00000228769	100422059
ATP binding cassette subfamily F member 3	Approved		3q27.1	U66685	NM_018358		ENSG00000161204	55324
ATP binding cassette subfamily G member 1	Approved		21q22.3	U34919	NM_207174	603076	ENSG00000160179	9619
ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		4q22.1	AF103796	NM_004827	603756	ENSG00000118777	9429
ATP binding cassette subfamily G member 4	Approved		11q23.3	AJ300465	NM_022169	607784	ENSG00000172350	64137
ATP binding cassette subfamily G member 5	Approved		2p21	T93792	NM_022436	605459	ENSG00000138075	64240
ATP binding cassette subfamily G member 8	Approved		2p21	AF320294	NM_022437	605460	ENSG00000143921	64241
abhydrolase domain containing 1	Approved		2p23.3	AK093447	NM_032604	612195	ENSG00000143994	84696
abhydrolase domain containing 2	Approved		15q26.1	X12433		612196	ENSG00000140526	11057
abhydrolase domain containing 3	Approved		18q11.2	AK024880		612197	ENSG00000158201	171586
abhydrolase domain containing 4	Approved		14q11.2	AK022878			ENSG00000100439	63874
abhydrolase domain containing 5	Approved		3p21.33	AF007132	NM_016006	604780	ENSG00000011198	51099
abhydrolase domain containing 6	Approved		3p14.3	AF225418	NM_020676	616966	ENSG00000163686	57406
abhydrolase domain containing 8	Approved		19p13.11	AK021805	NM_024527		ENSG00000127220	79575
abhydrolase domain containing 10	Approved		3q13.2	AL713726	NM_018394		ENSG00000144827	55347
abhydrolase domain containing 11	Approved	WBSCR21	7q11.23	AF217971			ENSG00000106077	83451
ABHD11 antisense RNA 1 (tail to tail)	Approved	WBSCR26, LINC00035	7q11.23	BU595969	NR_026690	612545	ENSG00000225969	171022
abhydrolase domain containing 12	Approved	C20orf22	20p11.21	AL117442	NM_015600	613599	ENSG00000100997	26090
abhydrolase domain containing 12B	Approved	C14orf29	14q22.1	BG698443			ENSG00000131969	145447
abhydrolase domain containing 13	Approved	C13orf6	13q33.3	AK027812	NM_032859		ENSG00000139826	84945
abhydrolase domain containing 14A	Approved		3p21.2	AY358201	NM_015407		ENSG00000248487	25864
ABHD14A-ACY1 readthrough	Approved		3p21.2				ENSG00000114786	100526760
abhydrolase domain containing 14B	Approved		3p21.2	AK075112	NM_032750		ENSG00000114779	84836
abhydrolase domain containing 15	Approved		17q11.2	AK056717	NM_198147		ENSG00000168792	116236
ABHD15 antisense RNA 1	Approved		17q11.2	CN275323			ENSG00000264031	104355133
abhydrolase domain containing 16A	Approved	BAT5	6p21.33	AF129756		142620	ENSG00000204427	7920
abhydrolase domain containing 16B	Approved	C20orf135	20q13.33				ENSG00000183260	140701
abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	19p13.3	BC020512	NM_031213	617942	ENSG00000129968	81926
abhydrolase domain containing 17A pseudogene 1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	1q21.2		NG_011738		ENSG00000198658	728917
symbol withdrawn, see ABHD17AP1	Symbol Withdrawn							
abhydrolase domain containing 17A pseudogene 3	Approved	FAM108A4, FAM108A4P	1q41		XR_041784		ENSG00000250536	648359
abhydrolase domain containing 17A pseudogene P4	Approved	FAM108A5, FAM108A5P	22q11.21				ENSG00000229107	729495
abhydrolase domain containing 17A pseudogene 5	Approved	FAM108A6, FAM108A6P	22q11.22				ENSG00000263366	91219
abhydrolase domain containing 17A pseudogene 6	Approved	FAM108A7P	17p11.2				ENSG00000226981	644988
abhydrolase domain containing 17A pseudogene 7	Approved	FAM108A8P	16p11.2				ENSG00000260864	100133212
abhydrolase domain containing 17A pseudogene 8	Approved	FAM108A9P	16p11.2				ENSG00000260540	647144
abhydrolase domain containing 17A pseudogene 9	Approved	FAM108A10P	16p11.2				ENSG00000261536	100132251
abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	9q21.13	AF151825	NM_016014	617943	ENSG00000107362	51104
abhydrolase domain containing 17C	Approved	FAM108C1	15q25.1		NM_021214	617944	ENSG00000136379	58489
abhydrolase domain containing 18	Approved	C4orf29	4q28.2	AK024759	NM_001039717		ENSG00000164074	80167
abl interactor 1	Approved	SSH3BP1	10p12.1	U87166	NM_005470	603050	ENSG00000136754	10006
abl interactor 1 pseudogene 1	Approved	SSH3BP1P, ABI1P	14q22.3		NG_002531		ENSG00000271484	326268
abl interactor 2	Approved		2q33.2	AF260261	NM_005759	606442	ENSG00000138443	10152
ABI family member 3	Approved		17q21.32	AB037886	NM_016428	606363	ENSG00000108798	51225
ABI family member 3 binding protein	Approved		3q12.2	AB056106		606279	ENSG00000154175	25890
ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	9q34.12	M14752	NM_007313	189980	ENSG00000097007	25
ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	1q25.2	M14904	NM_005158	164690	ENSG00000143322	27
actin binding LIM protein 1	Approved	LIMAB1, ABLIM	10q25.3	AF005654		602330	ENSG00000099204	3983
actin binding LIM protein family member 2	Approved		4p16.1	AB058711	NM_001130083	612544	ENSG00000163995	84448
actin binding LIM protein family member 3	Approved		5q32	AB020650	NM_014945	611305	ENSG00000173210	22885
ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved		9q34.2	AF134415	NM_020469	110300	ENSG00000175164	28
ABR, RhoGEF and GTPase activating protein	Approved		17p13.3	L19704		600365	ENSG00000159842	29
actin binding Rho activating protein	Approved		8q23.1	AF503617	NM_139166	609747	ENSG00000174429	137735
ABRA C-terminal like	Approved	C6orf115	6q24.1	BC014953	NM_021243		ENSG00000146386	58527
abraxas 1, BRCA1 A complex subunit	Approved	CCDC98, FAM175A	4q21.23	AK023676	NM_139076	611143	ENSG00000163322	84142
abraxas 2, BRISC complex subunit	Approved	KIAA0157, FAM175B	10q26.13	D63877	NM_032182	611144	ENSG00000165660	23172
activator of basal transcription 1	Approved		6p22.2	AB027258			ENSG00000146109	29777
activator of basal transcription 1 pseudogene 1	Approved		4q23		NG_025142		ENSG00000250496	100420695
ankyrin repeat and BTB domain containing 1	Approved		3q21.3	AB053324	NM_172027	608308	ENSG00000114626	80325
ankyrin repeat and BTB domain containing 2	Approved		11p13	AK056863	NM_145804		ENSG00000166016	25841
acetyl-CoA acyltransferase 1	Approved		3p22.2	X14813	NM_001607	604054	ENSG00000060971	30
acetyl-CoA acyltransferase 2	Approved		18q21.1	D16294	NM_006111	604770	ENSG00000167315	10449
acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	17q12	U19822	NM_198836	200350	ENSG00000278540	31
acetyl-CoA carboxylase beta	Approved		12q24.11	U89344	NM_001093	601557	ENSG00000076555	32
acyl-CoA dehydrogenase family member 8	Approved		11q25	AF126245	NM_014384	604773	ENSG00000151498	27034
acyl-CoA dehydrogenase family member 9	Approved		3q21.3	AF078854	NM_014049	611103	ENSG00000177646	28976
acyl-CoA dehydrogenase family member 10	Approved		12q24.12	AY323912	NM_025247	611181	ENSG00000111271	80724
acyl-CoA dehydrogenase family member 11	Approved		3q22.1	BC019607	NM_032169	614288	ENSG00000240303	84129
acyl-CoA dehydrogenase long chain	Approved		2q34	M74096	NM_001608	609576	ENSG00000115361	33
acyl-CoA dehydrogenase medium chain	Approved		1p31.1	M16827		607008	ENSG00000117054	34
acyl-CoA dehydrogenase short chain	Approved		12q24.31	M26393	NM_000017	606885	ENSG00000122971	35
acyl-CoA dehydrogenase short/branched chain	Approved		10q26.13	U12778	NM_001609	600301	ENSG00000196177	36
acyl-CoA dehydrogenase very long chain	Approved		17p13.1	BC012912	NM_000018	609575	ENSG00000072778	37
aggrecan	Approved	MSK16, CSPG1, AGC1	15q26.1	M55172	NM_001135	155760	ENSG00000157766	176
ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	17p13.1	D30758	NM_014716	607763	ENSG00000072818	9744
ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	3q29		NM_012287	607766	ENSG00000114331	23527
ACAP2 intronic transcript 1	Approved		3q29				ENSG00000229325	100874306
ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	1p36.33	AF411981	NM_030649		ENSG00000131584	116983
acetyl-CoA acetyltransferase 1	Approved	ACAT	11q22.3	D90228	NM_000019	607809	ENSG00000075239	38
acetyl-CoA acetyltransferase 2	Approved		6q25.3	AF356877	NM_005891	100678	ENSG00000120437	39
acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	1q42.12	AB043587	NM_022735	606809	ENSG00000182827	64746
ACBD3 antisense RNA 1	Approved		1q42.12	AW511419	NR_146443		ENSG00000234478	107985353
acyl-CoA binding domain containing 4	Approved		17q21.31	BC029164	NM_024722		ENSG00000181513	79777
acyl-CoA binding domain containing 5	Approved		10p12.1	AF505653	NM_145698	616618	ENSG00000107897	91452
acyl-CoA binding domain containing 6	Approved		1q25.2-q25.3	BC006505	NM_032360	616352	ENSG00000230124	84320
acyl-CoA binding domain containing 7	Approved		10p13	AK095538			ENSG00000176244	414149
symbol withdrawn, see CPN2	Symbol Withdrawn							
symbol withdrawn, see ACACA	Symbol Withdrawn							
symbol withdrawn, see ASIC2	Symbol Withdrawn							
symbol withdrawn, see SLC12A6	Symbol Withdrawn							
1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved		11p11.2	AY026508	NM_032592	608405	ENSG00000110455	84680
1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Approved		11p11.2		NM_001031854		ENSG00000205126	390110
ACD, shelterin complex subunit and telomerase recruitment factor	Approved		16q22.1	AF070535	NM_022914	609377	ENSG00000102977	65057
angiotensin I converting enzyme	Approved	DCP1	17q23.3	J04144	NM_000789	106180	ENSG00000159640	1636
angiotensin I converting enzyme 2	Approved		Xp22.2	AF291820		300335	ENSG00000130234	59272
angiotensin I converting enzyme 3, pseudogene	Approved		17q23.3				ENSG00000224353	100129123
alkaline ceramidase 1	Approved	ASAH3	19p13.3	AF347024	NM_133492	613491	ENSG00000167769	125981
alkaline ceramidase 2	Approved	ASAH3L	9p22.1	AK123581	NM_001010887	613492	ENSG00000177076	340485
alkaline ceramidase 3	Approved	PHCA	11q13.5	AF214454	NM_018367	617036	ENSG00000078124	55331
symbol withdrawn, see FGFR3	Symbol Withdrawn							
symbol withdrawn, see CUTA	Symbol Withdrawn							
acetylcholinesterase (Cartwright blood group)	Approved	YT	7q22.1		NM_015831	100740	ENSG00000087085	43
symbol withdrawn, see CHRND	Symbol Withdrawn							
symbol withdrawn, see CHRNG	Symbol Withdrawn							
apoptotic chromatin condensation inducer 1	Approved	ACINUS	14q11.2	AB014570	NM_014977	604562	ENSG00000100813	22985
atypical chemokine receptor 1 (Duffy blood group)	Approved	FY, DARC	1q23.2	U01839	NM_002036	613665	ENSG00000213088	2532
atypical chemokine receptor 2	Approved	CMKBR9, CCBP2	3p22.1	U94888	NM_001296	602648	ENSG00000144648	1238
atypical chemokine receptor 3	Approved	CMKOR1, CXCR7	2q37.3	BC008459	NM_020311	610376	ENSG00000144476	57007
atypical chemokine receptor 4	Approved	CCRL1	3q22.1	AF110640	NM_016557	606065	ENSG00000129048	51554
acrocallosal syndrome	Approved		12p13.3-p11.2					46
ATP citrate lyase	Approved		17q21.2	X64330	NM_001096	108728	ENSG00000131473	47
aminocarboxymuconate semialdehyde decarboxylase	Approved		2q21.3	AB071418		608889	ENSG00000153086	130013
acyl-CoA:amino acid N-acyltransferase pseudogene	Approved	BAATP1	9q31.1				ENSG00000227411	347275
aconitase 1	Approved	IREB1	9p21.1	M58510	NM_002197	100880	ENSG00000122729	48
aconitase 2	Approved		22q13.2	AH006514	NM_001098	100850	ENSG00000100412	50
aconitate decarboxylase 1	Approved	IRG1	13q22.3		NM_001258406	615275	ENSG00000102794	730249
acyl-CoA thioesterase 1	Approved		14q24.3	DQ082754	NM_001037161	614313	ENSG00000184227	641371
acyl-CoA thioesterase 2	Approved		14q24.3	AY005822, AK001939	NM_006821	609972	ENSG00000119673	10965
acyl-CoA thioesterase 4	Approved		14q24.3	BC031799	NM_152331	614314	ENSG00000177465	122970
acyl-CoA thioesterase 6	Approved	C14orf42	14q24.3	DQ082756, BF109853	NM_001037162	614267	ENSG00000205669	641372
acyl-CoA thioesterase 7	Approved		1p36.31	AB074417	NM_007274	602587	ENSG00000097021	11332
acyl-CoA thioesterase 8	Approved	PTE1	20q13.12	AF014404	NM_183386	608123	ENSG00000101473	10005
acyl-CoA thioesterase 9	Approved		Xp22.11	AF132950	NM_012332	300862	ENSG00000123130	23597
acyl-CoA thioesterase 11	Approved	THEA	1p32.3	AB014607	NM_015547	606803	ENSG00000162390	26027
acyl-CoA thioesterase 12	Approved		5q14.1	AB078619	NM_130767	614315	ENSG00000172497	134526
acyl-CoA thioesterase 13	Approved	THEM2	6p22.3	AF220186	NM_018473	615652	ENSG00000112304	55856
acyl-CoA oxidase 1	Approved		17q25.1	U03254		609751	ENSG00000161533	51
acyl-CoA oxidase 2	Approved		3p14.3	X95190	NM_003500	601641	ENSG00000168306	8309
acyl-CoA oxidase 3, pristanoyl	Approved		4p16.1	Y11411		603402	ENSG00000087008	8310
acyl-CoA oxidase like	Approved		2q13		NM_018308		ENSG00000153093	55289
ACOXL antisense RNA 1	Approved		2q13		NR_122074		ENSG00000204581	400997
acid phosphatase 1	Approved		2p25.3	M87546	NM_004300	171500	ENSG00000143727	52
acid phosphatase 2, lysosomal	Approved		11p11.2	X15525	NM_001610	171650	ENSG00000134575	53
acid phosphatase 4	Approved	ACPT	19q13.33	AF321918	NM_033068	606362	ENSG00000142513	93650
acid phosphatase 5, tartrate resistant	Approved		19p13.2	X14618		171640	ENSG00000102575	54
acid phosphatase 6, lysophosphatidic	Approved		1q21.2	BC009965	NM_016361	611471	ENSG00000162836	51205
acid phosphatase 7, tartrate resistant (putative)	Approved		19q13.2		NM_001004318	610490	ENSG00000183760	390928
acid phosphatase, prostate	Approved		3q22.1		NM_001099	171790	ENSG00000014257	55
acrosin	Approved		22q13.33	CR456366	NM_001097	102480	ENSG00000100312	49
acrosin binding protein	Approved		12p13.31	AB051833	NM_032489	608352	ENSG00000111644	84519
acrosomal vesicle protein 1	Approved		11q24.2	AK223335	NM_001612	102525	ENSG00000134940	56
acyl-CoA synthetase bubblegum family member 1	Approved		15q25.1	AB014531	NM_015162	614362	ENSG00000103740	23205
acyl-CoA synthetase bubblegum family member 2	Approved		19p13.3		NM_030924	614363	ENSG00000130377	81616
acyl-CoA synthetase family member 2	Approved		17q21.33	AK024573, BC012053	NM_025149	610465	ENSG00000167107	80221
acyl-CoA synthetase family member 3	Approved		16q24.3	AK075499	NM_174917	614245	ENSG00000176715	197322
acyl-CoA synthetase long chain family member 1	Approved	FACL2	4q35.1	BC026290	NM_001995	152425	ENSG00000151726	2180
acyl-CoA synthetase long chain family member 3	Approved	FACL3	2q36.1	D89053	NM_004457	602371	ENSG00000123983	2181
acyl-CoA synthetase long chain family member 4	Approved	FACL4, MRX63, MRX68	Xq23	BC034959	NM_004458	300157	ENSG00000068366	2182
acyl-CoA synthetase long chain family member 5	Approved	FACL5	10q25.2	AB033899	NM_016234	605677	ENSG00000197142	51703
acyl-CoA synthetase long chain family member 6	Approved	FACL6	5q31.1	AB020644	NM_015256	604443	ENSG00000164398	23305
acyl-CoA synthetase medium chain family member 1	Approved	BUCS1	16p12.3	AB059429	NM_052956	614357	ENSG00000166743	116285
acyl-CoA synthetase medium chain family member 2A	Approved	ACSM2	16p12.3	AK091878, AK096039	NM_001010845	614358	ENSG00000183747	123876
acyl-CoA synthetase medium chain family member 2B	Approved	ACSM2	16p12.3	AY160217	NM_182617	614359	ENSG00000066813	348158
acyl-CoA synthetase medium chain family member 3	Approved	SAH	16p12.3	D16350	NM_005622	145505	ENSG00000005187	6296
acyl-CoA synthetase medium chain family member 4	Approved		12p13.31		NM_001080454	614360	ENSG00000215009	341392
acyl-CoA synthetase medium chain family member 5	Approved		16p12.3		NM_017888	614361	ENSG00000183549	54988
acyl-CoA synthetase medium chain family member 5 pseudogene 1	Approved		16p12.3		NG_026352		ENSG00000260762	100421779
acyl-CoA synthetase medium chain family member 6	Approved	C10orf129	10q23.33		NM_207321		ENSG00000173124	142827
acyl-CoA synthetase short chain family member 1	Approved	ACAS2L	20p11.21		NM_032501	614355	ENSG00000154930	84532
acyl-CoA synthetase short chain family member 2	Approved	ACAS2	20q11.22	AF263614	NM_018677	605832	ENSG00000131069	55902
